year,league_name,num_teams
2016,"Carter Can't Win This One",10
2017,"9 pros and Carter",10
2018,"11 pros and Carter",12
2019,"9 pros and Guam",10
2020,"9 pros and Guam",10
2021,"9 pros and Guam",10
2022,"9 pros and Alex",10
2023,"11 pros and Graham",12
2024,"11 pros and Guam",12
2025,"11 pros and Dango",12
