matchup_id,year,week,home_team_id,home_score,away_team_id,away_score,is_playoff,matchup_type
1012,2022,3,2,129.45,6,84.75,0,NONE
1013,2022,3,9,107.4,12,151.9,0,NONE
1014,2022,4,11,184.65,3,123.2,0,NONE
1015,2022,4,1,122.9,4,181.95,0,NONE
1016,2022,4,6,153.05,7,169.95,0,NONE
1017,2022,4,12,127.0,8,131.15,0,NONE
1018,2022,4,9,76.6,2,123.25,0,NONE
1019,2022,5,1,184.9,11,184.75,0,NONE
1020,2022,5,3,107.2,6,130.9,0,NONE
1021,2022,5,4,149.8,12,111.2,0,NONE
1022,2022,5,7,108.45,9,126.9,0,NONE
1023,2022,5,8,143.7,2,143.65,0,NONE
1024,2022,6,11,87.85,6,132.95,0,NONE
1025,2022,6,12,134.7,1,168.45,0,NONE
1026,2022,6,9,117.5,3,96.0,0,NONE
1027,2022,6,2,134.6,4,154.5,0,NONE
1028,2022,6,8,126.55,7,141.6,0,NONE
1029,2022,7,12,138.2,11,143.8,0,NONE
1030,2022,7,6,126.0,9,101.1,0,NONE
1031,2022,7,1,125.45,2,212.95,0,NONE
1032,2022,7,3,106.55,8,106.65,0,NONE
1033,2022,7,4,164.15,7,127.6,0,NONE
1034,2022,8,11,159.05,9,175.9,0,NONE
1035,2022,8,2,114.8,12,157.6,0,NONE
1036,2022,8,8,217.7,6,159.15,0,NONE
1037,2022,8,7,99.5,1,126.35,0,NONE
1038,2022,8,4,153.45,3,174.2,0,NONE
1039,2022,9,2,131.5,11,132.9,0,NONE
1040,2022,9,9,123.85,8,106.55,0,NONE
1041,2022,9,12,117.75,7,145.85,0,NONE
1042,2022,9,6,175.85,4,165.4,0,NONE
1043,2022,9,1,193.55,3,121.15,0,NONE
1044,2022,10,11,123.6,8,121.5,0,NONE
1045,2022,10,7,147.05,2,136.25,0,NONE
1046,2022,10,4,152.45,9,129.25,0,NONE
1047,2022,10,3,103.1,12,81.2,0,NONE
1048,2022,10,1,144.05,6,222.05,0,NONE
1049,2022,11,7,116.15,11,150.95,0,NONE
1050,2022,11,8,111.25,4,109.35,0,NONE
1051,2022,11,2,178.55,3,124.4,0,NONE
1052,2022,11,9,167.95,1,139.3,0,NONE
1053,2022,11,12,116.55,6,143.95,0,NONE
1054,2022,12,11,124.5,4,161.4,0,NONE
1055,2022,12,3,135.7,7,168.5,0,NONE
1056,2022,12,1,160.2,8,121.65,0,NONE
1057,2022,12,6,131.9,2,161.5,0,NONE
1058,2022,12,12,85.3,9,137.05,0,NONE
1059,2022,13,3,145.65,11,139.55,0,NONE
1060,2022,13,4,152.65,1,111.9,0,NONE
1061,2022,13,7,140.2,6,167.5,0,NONE
1062,2022,13,8,127.35,12,80.35,0,NONE
1063,2022,13,2,147.0,9,155.15,0,NONE
1064,2022,14,4,302.8,7,237.0,1,WINNERS_BRACKET
1065,2022,14,1,271.1,6,302.4,1,WINNERS_BRACKET
1066,2022,14,9,252.05,8,342.15,1,LOSERS_CONSOLATION_LADDER
1067,2022,14,2,257.25,11,283.15,1,LOSERS_CONSOLATION_LADDER
1068,2022,14,12,212.5,3,256.6,1,LOSERS_CONSOLATION_LADDER
1069,2022,15,4,263.0,6,340.0,1,WINNERS_BRACKET
1070,2022,15,1,217.65,7,238.9,1,WINNERS_CONSOLATION_LADDER
1071,2022,15,8,196.0,11,287.65,1,LOSERS_CONSOLATION_LADDER
1072,2022,15,9,272.7,3,209.55,1,LOSERS_CONSOLATION_LADDER
1073,2022,15,2,197.35,12,274.25,1,LOSERS_CONSOLATION_LADDER
1074,2021,1,8,137.25,11,153.7,0,NONE
1075,2021,1,2,150.15,7,133.9,0,NONE
1076,2021,1,9,130.1,4,137.35,0,NONE
1077,2021,1,12,202.75,3,172.6,0,NONE
1078,2021,1,6,118.95,1,183.85,0,NONE
1079,2021,2,11,171.0,7,185.55,0,NONE
1080,2021,2,4,125.35,8,162.9,0,NONE
1081,2021,2,3,134.85,2,131.0,0,NONE
1082,2021,2,1,146.65,9,142.55,0,NONE
1083,2021,2,6,145.75,12,135.2,0,NONE
1084,2021,3,4,140.6,11,147.4,0,NONE
1085,2021,3,7,187.95,3,145.2,0,NONE
1086,2021,3,8,131.3,1,115.1,0,NONE
1087,2021,3,2,166.35,6,162.55,0,NONE
1088,2021,3,9,156.9,12,134.3,0,NONE
1089,2021,4,11,122.05,3,156.45,0,NONE
1090,2021,4,1,124.5,4,149.1,0,NONE
1091,2021,4,6,151.7,7,162.4,0,NONE
1092,2021,4,12,129.6,8,161.45,0,NONE
1093,2021,4,9,132.95,2,183.8,0,NONE
1094,2021,5,1,120.7,11,204.7,0,NONE
1095,2021,5,3,154.6,6,187.1,0,NONE
1096,2021,5,4,153.9,12,163.25,0,NONE
1097,2021,5,7,196.1,9,146.05,0,NONE
1098,2021,5,8,130.55,2,167.0,0,NONE
1099,2021,6,11,168.45,6,121.25,0,NONE
1100,2021,6,12,191.25,1,151.55,0,NONE
1101,2021,6,9,153.35,3,163.45,0,NONE
1102,2021,6,2,133.85,4,182.95,0,NONE
1103,2021,6,8,122.45,7,137.65,0,NONE
1104,2021,7,12,144.95,11,169.55,0,NONE
1105,2021,7,6,135.95,9,130.7,0,NONE
1106,2021,7,1,122.2,2,137.35,0,NONE
1107,2021,7,3,174.2,8,113.65,0,NONE
1108,2021,7,4,155.2,7,195.6,0,NONE
1109,2021,8,11,77.75,9,164.05,0,NONE
1110,2021,8,2,146.35,12,143.1,0,NONE
1111,2021,8,8,95.95,6,132.85,0,NONE
1112,2021,8,7,148.5,1,164.65,0,NONE
